text,label,clean_text,stem_porter,stem_lancaster,stem_snowball,stem_regexp,lemma
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,2,worry payment problem may never meyer motivation leadership worry,worri payment problem may never meyer motiv leadership worri,worry pay problem may nev mey mot lead worry,worri payment problem may never meyer motiv leadership worri,worry payment problem may never meyer motivation leadership worry,worry payment problem may never meyer motivation leadership worry
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,0,roommate okay spell autocorrect terrible firstworldprobs,roommat okay spell autocorrect terribl firstworldprob,room okay spel autocorrect terr firstworldprob,roommat okay spell autocorrect terribl firstworldprob,roommate okay spell autocorrect terrible firstworldprob,roommate okay spell autocorrect terrible firstworldprob
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,1,cut probably shy photo cherry helped,cut probabl shi photo cherri help,cut prob shy photo cherry help,cut probabl shi photo cherri help,cut probab shy photo cherry help,cut probably shy photo cherry helped
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",0,rooneys fucking unteachable fucking dreadful delay looked decentishtonight,rooney fuck unteach fuck dread delay look decentishtonight,rooney fuck unteach fuck dread delay look decentishtonight,rooney fuck unteach fuck dread delay look decentishtonight,rooney fuck unteachable fuck dreadful delay look decentishtonight,rooney fuck unteachable fucking dreadful delay look decentishtonight
it's pretty depressing when u hit pan on ur favourite highlighter,3,pretty depressing hit pan favourite highlight,pretti depress hit pan favourit highlight,pretty depress hit pan favourit highlight,pretti depress hit pan favourit highlight,pretty depress hit pan favourite highlight,pretty depressing hit pan favourite highlight
@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,0,hussy weak heard soft bitch got threaten pregnant,hussi weak heard soft bitch got threaten pregnant,hussy weak heard soft bitch got threaten pregn,hussi weak heard soft bitch got threaten pregnant,hussy weak heard soft bitch got threaten pregnant,hussy weak hear soft bitch get threaten pregnant
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,3,making yearly transition excited hopeful college returned sick exhausted pessimist college,make yearli transit excit hope colleg return sick exhaust pessimist colleg,mak year transit excit hop colleg return sick exhaust pessim colleg,make year transit excit hope colleg return sick exhaust pessimist colleg,mak year transition excit hopeful college return sick exhaust pessimist college,make yearly transition excite hopeful college return sick exhausted pessimist college
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,1,tiller breezy collar album tapping singing polly fire,tiller breezi collar album tap sing polli fire,til breezy coll alb tap sing pol fir,tiller breezi collar album tap sing polli fire,tiller breezy collar album tapp sing pol fire,tiller breezy collar album tap singing polly fire
@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,0,broadband shocking regretting signing angry shouldofgonewithvirgin,broadband shock regret sign angri shouldofgonewithvirgin,broadband shock regret sign angry shouldofgonewithvirgin,broadband shock regret sign angri shouldofgonewithvirgin,broadband shock regrett sign angry shouldofgonewithvirgin,broadband shocking regretting sign angry shouldofgonewithvirgin
@user Look at those teef! #growl,0,look beef growl,look beef growl,look beef growl,look beef growl,look beef growl,look beef growl
